"elec_rep16_win","fips_state","elec_rep12_win","elec_voting_participation","elec_voting_power","demo_sex_ratio","demo_population_density","demo_median_age","demo_age_dependency_ratio","population_white","population_african_american","population_native","population_asian","population_other","population_latino","population_homnogenity_index","finance_gini_coef","finance_median_earning","poverty_children","poverty_child_living_in_families","poverty_below_federal_threshold","poverty_adult","demo_unemployment","occupation_management","occupation_service","occupation_sale","occupation_agriculture","occupcation_maintainance","occupation_transportation","education_less_than_high_school","education_at_least_bachelor","education_graduate_degree","education_school_enrollment","education_preschool_enrollment","demo_uninsured","healthcare_life_expectancy","health_infant_mortality","health_hiv","health_sti","health_poor_physiscal_health_days","health_poor_mental_health_days","health_children_with_single_parent","health_adult_smoking","health_adult_obesity","health_diabetes","health_low_birth_weight","health_teen_birth","health_injury","demo_violent_crime","demo_homicide","weather_winter_prcp","weather_winter_tavg"
FALSE,"1",FALSE,62.1211812128729,1.32124417525013,89.7,228.972199264264,37.4,59,51.7,41.8,0.2,1.4,1,3.9,0.450053,0.492,29101,25,22.6,15.5,10.5,0.063,35.8,15.7,28.6,0.1,8.3,11.6,13.4,28.8,10.7,77.1,54.2,0.147,74.5864997364259,10.8,623.052,801.5,4.5,4.5,0.432,0.168,0.337,0.125,0.11,44.6,76.4,717.4,16.1,14.7566666666667,44.8
TRUE,"1",TRUE,65.218576751795,0.0311347523884729,93.6,9.02176644879732,43.7,70.6,86.1,11.2,0.2,0,1.2,1.2,0.749929,0.495,22758,21.6,25.2,18.5,14.6,0.071,24.2,14.8,19.4,2.3,11.3,27.9,24.7,9.2,3.3,72.1,40.6,0.159,74.4255785123967,9.26281635301752,83.001,329.6,5,4.8,0.338,0.214,0.325,0.134,0.1,49.4,90.2,49.74,9.10615043400437,16.625,44.425
TRUE,"1",TRUE,50.9584290845041,0.160671983061584,91.9,53.6260349107841,41.1,62.7,85.5,9.9,0.3,0.7,1.3,2.2,0.751751,0.461,23816,31.1,24.6,17.7,9.7,0.072,28.3,16.7,27.4,0.5,12.1,15.1,17.1,21.5,7.9,76.6,41.1,0.15,75.6985825951016,7.9,70.845,382.5,4.5,4.6,0.331,0.189,0.316,0.116,0.1,32,67.1,179.56,6,15.9645833333333,41.6
TRUE,"1",TRUE,54.3735588009224,0.0613844031204172,95.7,18.7752267862472,41.7,61.2,76.9,11.4,5.6,0.1,4.2,1.7,0.61432275,0.399,26194,18.1,17.3,13.6,11,0.082,22.9,15.3,22.3,0.6,15.4,23.4,24.8,10.7,3.3,72.7,36.7,0.182,73.8424374041901,7.7,84.513,295.5,4.7,4.6,0.332,0.203,0.363,0.124,0.1,50.3,110.5,194.21,4.4,16.02375,41.85
TRUE,"1",TRUE,48.4064665127021,0.2364436268342,96.8,95.9523168881757,30.3,46.6,69.8,22.6,0.3,2.6,1.5,3.3,0.55208175,0.479,21244,23.8,19,19.2,9,0.056,35.9,16,24.5,0.6,10.1,12.9,14.8,30.9,13.4,82.5,42.8,0.161,77.525406504065,7,178.233,519.5,4.5,4.5,0.331,0.203,0.295,0.096,0.08,23.1,45.9,218.24,5.9,14.84,46.25
TRUE,"1",TRUE,53.7784099506703,0.154198592514817,101,61.2351851138784,39,58.1,78.7,12.5,0.6,1.1,1.6,5.5,0.6540495,0.435,27643,25.1,17.5,13.5,11,0.061,32.9,14,22.2,0.8,11.2,18.8,19.6,20.8,6.3,72.8,31.5,0.161,77.0572139303483,6.6,154.251,248.7,4.4,4.4,0.277,0.186,0.335,0.108,0.09,37.2,62,123.57,3.8,15.8175,41.375
FALSE,"1",FALSE,91.4984188761858,0.0326402929512934,91.2,5.79333515222413,39.5,66.2,25.1,73.3,0.2,0.1,0.4,0.8,0.588498,0.506,21056,47.9,40.3,27.3,18.9,0.129,17.7,18.2,24.7,1.2,11.6,26.6,26.6,12.7,3.7,73.3,58.5,0.153,73.1368619246862,9.26281635301752,564.784,1188.2,5.7,5.2,0.62,0.231,0.464,0.192,0.13,55.4,95.5,554.47,23.3,14.71,47.5333333333333
FALSE,"1",FALSE,64.2005804977459,0.0451054746140696,84.5,12.6936818904155,37.5,53.5,15.2,82.2,0.1,0.4,1,1.1,0.6991945,0.483,16854,44.1,36.4,27.4,19.5,0.091,26.7,25.4,24.1,1.3,8.5,14,21.2,20.9,10.2,88.7,65.5,0.159,71.4035501355013,12.1462686567164,588.668,1222.3,5.6,5.2,0.596,0.235,0.424,0.182,0.13,30.4,83.6,625.45,29.8,14.09,47.8
TRUE,"1",TRUE,60.0592756316873,0.674360687602503,95.7,166.86828275813,37.8,56.2,66.1,23.7,0.7,2.4,2.4,4.6,0.51224,0.454,30305,21.1,16.6,12,6.6,0.062,43.7,14.1,23.7,0.2,7.3,11,12.2,37.4,13.5,79.2,54.7,0.137,77.2718804292284,8.1,219.485,534,4.2,4.3,0.319,0.202,0.312,0.106,0.1,30.9,58,542.89,6.1,16.07,41.2
FALSE,"1",FALSE,74.8039660423822,0.0500820020652372,87.1,8.02573020488357,42.2,71.5,45.7,51.5,0.1,0.3,0.7,1.7,0.48371175,0.484,22465,30.4,28.9,22.7,18.5,0.08,28.7,14.3,20.1,3.7,11.2,21.8,20.3,17.9,5.6,77.4,72.7,0.154,73.3473062533405,10.4985074626866,129.085,647,5.5,5.1,0.488,0.22,0.413,0.176,0.13,46.9,69.6,402.99,6.8560793049677,15.1938888888889,47.0583333333334
TRUE,"1",TRUE,50.7192439575144,0.0526244999609514,97.5,15.8057612455911,44.1,68.9,92.6,3.8,0.3,0.2,1,2.1,0.86124775,0.449,22231,31,28.3,17.8,12.7,0.081,23.9,14.9,21.2,1.3,12.4,26.4,29,8.8,3.8,74.1,23.5,0.161,73.3416455696202,11.2,104.046,220.9,5,4.9,0.287,0.203,0.349,0.13,0.09,54.5,102.8,225.98,5.7660793049677,17.02,42.95
TRUE,"1",TRUE,49.9380440269853,0.141633619979001,96.9,64.3579224884053,38.8,68.5,83.9,1.5,0.6,0.5,1.4,12.1,0.73158775,0.462,23317,36.7,30.3,19.9,12.5,0.067,24.9,15.8,22.5,1.5,13.2,22,26.3,14.5,5.4,70.2,28.6,0.219,74.0049314372778,8.5,109.798,253.2,4.9,4.8,0.325,0.204,0.35,0.115,0.08,62.5,72.5,227.86,3.3,15.57,41.992
TRUE,"1",TRUE,56.902803228196,0.759885804531373,91.8,130.09484239396,37,62.1,59.1,34.4,0.9,1.8,1.4,2.4,0.4762415,0.473,25355,34.9,28.7,19.2,12.8,0.077,29.4,17.3,26.9,0.7,11.7,14.1,17.7,19.8,6.7,76.2,49.6,0.166,74.6348175182482,8.4,530.704,792.4,4.9,5,0.436,0.205,0.361,0.136,0.12,53.3,78.3,597.08,15,15.95,52.325
TRUE,"1",TRUE,63.6325852036575,0.0464982081030189,91.9,8.3633062863486,41.1,70.7,54.7,41.5,1.1,0.3,1.4,1,0.476536,0.483,23830,44.9,39.1,25.4,19.8,0.113,25,12,23,1.7,10.7,27.6,24.6,11.2,3.1,77.2,20.1,0.183,74.1035330901511,9.26281635301752,159.126,544.2,5.3,5.1,0.534,0.219,0.372,0.164,0.16,57,73.8,540.43,11.5,15.43,49.2033333333333
FALSE,"1",FALSE,61.1241862944132,0.442841523416145,90.4,112.317367025933,35.2,59.2,38.4,54.5,0.2,2.1,1.2,3.6,0.45291375,0.473,26184,35.1,29.2,18.9,11.2,0.069,35.4,17.6,26.3,0.3,6.9,13.5,15.3,30.5,12.3,76.1,46.4,0.153,75.5482773109244,10.2,781.912,1320.4,4.9,4.7,0.523,0.197,0.336,0.135,0.12,50,58.9,367.5,15.6,14.515,48.4
